,SKU,ITEM,FAMILY,CATEGORY,STORE,DAY,QTY
2304,692,692,2,0,0,1,33
2601,989,989,2,0,0,1,20
2810,1198,1198,2,0,0,1,42
5353,3741,692,2,0,1,1,21
5650,4038,989,2,0,1,1,11
5859,4247,1198,2,0,1,1,34
8402,6790,692,2,0,2,1,28
8699,7087,989,2,0,2,1,14
8908,7296,1198,2,0,2,1,56
11451,9839,692,2,0,3,1,6
11748,10136,989,2,0,3,1,6
11957,10345,1198,2,0,3,1,6
14500,12888,692,2,0,4,1,16
14797,13185,989,2,0,4,1,18
15006,13394,1198,2,0,4,1,53
17549,15937,692,2,0,5,1,29
17846,16234,989,2,0,5,1,41
18055,16443,1198,2,0,5,1,98
20598,18986,692,2,0,6,1,23
20895,19283,989,2,0,6,1,37
21104,19492,1198,2,0,6,1,115
23647,22035,692,2,0,7,1,18
23944,22332,989,2,0,7,1,12
24153,22541,1198,2,0,7,1,26
26696,25084,692,2,0,8,1,14
26993,25381,989,2,0,8,1,1
27202,25590,1198,2,0,8,1,25
29745,28133,692,2,0,9,1,22
30042,28430,989,2,0,9,1,23
30251,28639,1198,2,0,9,1,61
32794,692,692,2,0,0,2,16
33091,989,989,2,0,0,2,20
33300,1198,1198,2,0,0,2,36
35843,3741,692,2,0,1,2,15
36140,4038,989,2,0,1,2,2
36349,4247,1198,2,0,1,2,25
38892,6790,692,2,0,2,2,17
39189,7087,989,2,0,2,2,5
39398,7296,1198,2,0,2,2,55
41941,9839,692,2,0,3,2,7
42238,10136,989,2,0,3,2,5
42447,10345,1198,2,0,3,2,13
44990,12888,692,2,0,4,2,12
45287,13185,989,2,0,4,2,17
45496,13394,1198,2,0,4,2,46
48039,15937,692,2,0,5,2,20
48336,16234,989,2,0,5,2,39
48545,16443,1198,2,0,5,2,85
51088,18986,692,2,0,6,2,23
51385,19283,989,2,0,6,2,40
51594,19492,1198,2,0,6,2,116
54137,22035,692,2,0,7,2,15
54434,22332,989,2,0,7,2,5
54643,22541,1198,2,0,7,2,14
57186,25084,692,2,0,8,2,8
57483,25381,989,2,0,8,2,2
57692,25590,1198,2,0,8,2,22
60235,28133,692,2,0,9,2,12
60532,28430,989,2,0,9,2,23
60741,28639,1198,2,0,9,2,67
63284,692,692,2,0,0,3,16
63581,989,989,2,0,0,3,4
63790,1198,1198,2,0,0,3,30
66333,3741,692,2,0,1,3,9
66630,4038,989,2,0,1,3,2
66839,4247,1198,2,0,1,3,16
69382,6790,692,2,0,2,3,24
69679,7087,989,2,0,2,3,7
69888,7296,1198,2,0,2,3,45
72431,9839,692,2,0,3,3,13
72728,10136,989,2,0,3,3,8
72937,10345,1198,2,0,3,3,7
75480,12888,692,2,0,4,3,4
75777,13185,989,2,0,4,3,15
75986,13394,1198,2,0,4,3,42
78529,15937,692,2,0,5,3,13
78826,16234,989,2,0,5,3,18
79035,16443,1198,2,0,5,3,47
81578,18986,692,2,0,6,3,21
81875,19283,989,2,0,6,3,27
82084,19492,1198,2,0,6,3,71
84627,22035,692,2,0,7,3,12
84924,22332,989,2,0,7,3,2
85133,22541,1198,2,0,7,3,11
87676,25084,692,2,0,8,3,6
87973,25381,989,2,0,8,3,1
88182,25590,1198,2,0,8,3,24
90725,28133,692,2,0,9,3,19
91022,28430,989,2,0,9,3,11
91231,28639,1198,2,0,9,3,35
93774,692,692,2,0,0,4,14
94071,989,989,2,0,0,4,15
94280,1198,1198,2,0,0,4,23
96823,3741,692,2,0,1,4,10
97120,4038,989,2,0,1,4,1
97329,4247,1198,2,0,1,4,25
99872,6790,692,2,0,2,4,18
100169,7087,989,2,0,2,4,15
100378,7296,1198,2,0,2,4,57
102921,9839,692,2,0,3,4,5
103218,10136,989,2,0,3,4,4
103427,10345,1198,2,0,3,4,13
105970,12888,692,2,0,4,4,4
106267,13185,989,2,0,4,4,23
106476,13394,1198,2,0,4,4,45
109019,15937,692,2,0,5,4,18
109316,16234,989,2,0,5,4,24
109525,16443,1198,2,0,5,4,56
112068,18986,692,2,0,6,4,14
112365,19283,989,2,0,6,4,31
112574,19492,1198,2,0,6,4,66
115117,22035,692,2,0,7,4,2
115414,22332,989,2,0,7,4,3
115623,22541,1198,2,0,7,4,12
118166,25084,692,2,0,8,4,2
118463,25381,989,2,0,8,4,2
118672,25590,1198,2,0,8,4,13
121215,28133,692,2,0,9,4,13
121512,28430,989,2,0,9,4,26
121721,28639,1198,2,0,9,4,66
124264,692,692,2,0,0,5,20
124561,989,989,2,0,0,5,15
124770,1198,1198,2,0,0,5,27
127313,3741,692,2,0,1,5,17
127610,4038,989,2,0,1,5,5
127819,4247,1198,2,0,1,5,37
130362,6790,692,2,0,2,5,28
130659,7087,989,2,0,2,5,4
130868,7296,1198,2,0,2,5,54
133411,9839,692,2,0,3,5,20
133708,10136,989,2,0,3,5,7
133917,10345,1198,2,0,3,5,10
136460,12888,692,2,0,4,5,5
136757,13185,989,2,0,4,5,10
136966,13394,1198,2,0,4,5,28
139509,15937,692,2,0,5,5,17
139806,16234,989,2,0,5,5,22
140015,16443,1198,2,0,5,5,51
142558,18986,692,2,0,6,5,21
142855,19283,989,2,0,6,5,23
143064,19492,1198,2,0,6,5,66
145607,22035,692,2,0,7,5,0
145904,22332,989,2,0,7,5,0
146113,22541,1198,2,0,7,5,0
148656,25084,692,2,0,8,5,4
148953,25381,989,2,0,8,5,2
149162,25590,1198,2,0,8,5,9
151705,28133,692,2,0,9,5,11
152002,28430,989,2,0,9,5,0
152211,28639,1198,2,0,9,5,37
154754,692,692,2,0,0,6,23
155051,989,989,2,0,0,6,15
155260,1198,1198,2,0,0,6,34
157803,3741,692,2,0,1,6,14
158100,4038,989,2,0,1,6,2
158309,4247,1198,2,0,1,6,20
160852,6790,692,2,0,2,6,32
161149,7087,989,2,0,2,6,12
161358,7296,1198,2,0,2,6,67
163901,9839,692,2,0,3,6,8
164198,10136,989,2,0,3,6,4
164407,10345,1198,2,0,3,6,11
166950,12888,692,2,0,4,6,4
167247,13185,989,2,0,4,6,18
167456,13394,1198,2,0,4,6,48
169999,15937,692,2,0,5,6,16
170296,16234,989,2,0,5,6,19
170505,16443,1198,2,0,5,6,60
173048,18986,692,2,0,6,6,23
173345,19283,989,2,0,6,6,36
173554,19492,1198,2,0,6,6,89
176097,22035,692,2,0,7,6,17
176394,22332,989,2,0,7,6,4
176603,22541,1198,2,0,7,6,11
179146,25084,692,2,0,8,6,16
179443,25381,989,2,0,8,6,2
179652,25590,1198,2,0,8,6,28
182195,28133,692,2,0,9,6,16
182492,28430,989,2,0,9,6,21
182701,28639,1198,2,0,9,6,62
185244,692,692,2,0,0,7,24
185541,989,989,2,0,0,7,17
185750,1198,1198,2,0,0,7,30
188293,3741,692,2,0,1,7,29
188590,4038,989,2,0,1,7,7
188799,4247,1198,2,0,1,7,32
191342,6790,692,2,0,2,7,25
191639,7087,989,2,0,2,7,7
191848,7296,1198,2,0,2,7,46
194391,9839,692,2,0,3,7,4
194688,10136,989,2,0,3,7,7
194897,10345,1198,2,0,3,7,14
197440,12888,692,2,0,4,7,8
197737,13185,989,2,0,4,7,20
197946,13394,1198,2,0,4,7,32
200489,15937,692,2,0,5,7,18
200786,16234,989,2,0,5,7,29
200995,16443,1198,2,0,5,7,63
203538,18986,692,2,0,6,7,16
203835,19283,989,2,0,6,7,34
204044,19492,1198,2,0,6,7,78
206587,22035,692,2,0,7,7,16
206884,22332,989,2,0,7,7,7
207093,22541,1198,2,0,7,7,16
209636,25084,692,2,0,8,7,10
209933,25381,989,2,0,8,7,1
210142,25590,1198,2,0,8,7,31
212685,28133,692,2,0,9,7,16
212982,28430,989,2,0,9,7,36
213191,28639,1198,2,0,9,7,63
215734,692,692,2,0,0,8,38
216031,989,989,2,0,0,8,23
216240,1198,1198,2,0,0,8,59
218783,3741,692,2,0,1,8,27
219080,4038,989,2,0,1,8,4
219289,4247,1198,2,0,1,8,47
221832,6790,692,2,0,2,8,30
222129,7087,989,2,0,2,8,12
222338,7296,1198,2,0,2,8,97
224881,9839,692,2,0,3,8,15
225178,10136,989,2,0,3,8,5
225387,10345,1198,2,0,3,8,18
227930,12888,692,2,0,4,8,8
228227,13185,989,2,0,4,8,32
228436,13394,1198,2,0,4,8,53
230979,15937,692,2,0,5,8,33
231276,16234,989,2,0,5,8,0
231485,16443,1198,2,0,5,8,96
234028,18986,692,2,0,6,8,15
234325,19283,989,2,0,6,8,44
234534,19492,1198,2,0,6,8,123
237077,22035,692,2,0,7,8,22
237374,22332,989,2,0,7,8,9
237583,22541,1198,2,0,7,8,17
240126,25084,692,2,0,8,8,21
240423,25381,989,2,0,8,8,0
240632,25590,1198,2,0,8,8,34
243175,28133,692,2,0,9,8,21
243472,28430,989,2,0,9,8,32
243681,28639,1198,2,0,9,8,80
246224,692,692,2,0,0,9,32
246521,989,989,2,0,0,9,10
246730,1198,1198,2,0,0,9,54
249273,3741,692,2,0,1,9,22
249570,4038,989,2,0,1,9,3
249779,4247,1198,2,0,1,9,38
252322,6790,692,2,0,2,9,22
252619,7087,989,2,0,2,9,10
252828,7296,1198,2,0,2,9,76
255371,9839,692,2,0,3,9,4
255668,10136,989,2,0,3,9,8
255877,10345,1198,2,0,3,9,6
258420,12888,692,2,0,4,9,6
258717,13185,989,2,0,4,9,25
258926,13394,1198,2,0,4,9,52
261469,15937,692,2,0,5,9,24
261766,16234,989,2,0,5,9,0
261975,16443,1198,2,0,5,9,95
264518,18986,692,2,0,6,9,28
264815,19283,989,2,0,6,9,32
265024,19492,1198,2,0,6,9,115
267567,22035,692,2,0,7,9,10
267864,22332,989,2,0,7,9,4
268073,22541,1198,2,0,7,9,21
270616,25084,692,2,0,8,9,8
270913,25381,989,2,0,8,9,0
271122,25590,1198,2,0,8,9,14
273665,28133,692,2,0,9,9,21
273962,28430,989,2,0,9,9,23
274171,28639,1198,2,0,9,9,66
276714,692,692,2,0,0,10,12
277011,989,989,2,0,0,10,10
277220,1198,1198,2,0,0,10,37
279763,3741,692,2,0,1,10,16
280060,4038,989,2,0,1,10,6
280269,4247,1198,2,0,1,10,19
282812,6790,692,2,0,2,10,20
283109,7087,989,2,0,2,10,11
283318,7296,1198,2,0,2,10,67
285861,9839,692,2,0,3,10,8
286158,10136,989,2,0,3,10,5
286367,10345,1198,2,0,3,10,11
288910,12888,692,2,0,4,10,7
289207,13185,989,2,0,4,10,15
289416,13394,1198,2,0,4,10,26
291959,15937,692,2,0,5,10,20
292256,16234,989,2,0,5,10,26
292465,16443,1198,2,0,5,10,93
295008,18986,692,2,0,6,10,12
295305,19283,989,2,0,6,10,30
295514,19492,1198,2,0,6,10,70
298057,22035,692,2,0,7,10,3
298354,22332,989,2,0,7,10,5
298563,22541,1198,2,0,7,10,13
301106,25084,692,2,0,8,10,5
301403,25381,989,2,0,8,10,0
301612,25590,1198,2,0,8,10,35
304155,28133,692,2,0,9,10,10
