,index,ITEM,FAMILY,CATEGORY,QTY,MEAN,MAX,%MAX/MEAN,STD,CV,NORMALITY_P,NOT_NORMAL,DAYS_ACTIVE,QTY%,QTY%_CS,SKU_ID,SKU_%,ABC,FOCUS
0,702,702,2,0,390727,535.9766803840878,2436,4.54497385642661,433.54541855491203,0.8088885849366204,6.698826063326228e-22,True,501,1.793565057983186,1.793565057983186,1.0,0.04284490145672665,A,STABLE_DEMAND
1,1198,1198,2,0,386621,530.3443072702332,1147,2.1627459449952275,120.56480280031596,0.2273330761687294,2.471080794413244e-13,True,729,1.7747171715354133,3.5682822295185996,2.0,0.0856898029134533,A,STABLE_DEMAND
2,1167,1167,2,0,224454,307.89300411522635,607,1.9714640861824695,75.91572516523827,0.24656528128462268,4.064098391154403e-09,True,728,1.030317463406824,4.598599692925424,3.0,0.12853470437017994,A,STABLE_DEMAND
3,864,864,2,0,219786,301.4897119341564,679,2.2521498184597744,94.70251407160654,0.31411524281892916,1.53200043796764e-13,True,727,1.0088898126668813,5.607489505592305,4.0,0.1713796058269066,A,STABLE_DEMAND
4,1199,1199,2,0,185561,254.54183813443072,572,2.2471747834943767,74.33593349218856,0.2920381735160161,8.295576492400869e-08,True,727,0.8517858395360904,6.459275345128395,5.0,0.21422450728363324,A,STABLE_DEMAND
5,1325,1325,2,0,152958,209.81893004115227,538,2.5641156395873375,72.24340818217736,0.34431310925095315,9.585829173616375e-14,True,727,0.7021273782947997,7.161402723423195,6.0,0.2570694087403599,A,STABLE_DEMAND
6,1306,1306,2,0,152149,208.70919067215362,384,1.8398806433167487,48.09811898641049,0.23045520339333975,1.2442580299421024e-08,True,728,0.6984138030058936,7.859816526429088,7.0,0.29991431019708653,A,STABLE_DEMAND
7,574,574,1,0,136059,186.6378600823045,477,2.5557515489603775,66.91484660756055,0.3585277208924925,1.1345061921019806e-06,True,727,0.6245554267407534,8.484371953169841,8.0,0.3427592116538132,A,STABLE_DEMAND
8,838,838,2,0,125383,171.99314128943757,345,2.0058939409648837,41.94264408038568,0.2438623061707023,1.745721275869805e-11,True,728,0.575549085845375,9.059921039015217,9.0,0.3856041131105398,A,STABLE_DEMAND
9,1247,1247,2,0,121209,166.26748971193416,521,3.133504937752147,93.51377079870107,0.5624296785903116,1.6213848945048046e-19,True,727,0.5563890570989054,9.616310096114123,10.0,0.4284490145672665,A,STABLE_DEMAND
10,814,814,2,0,120819,165.73251028806584,454,2.7393539095672037,61.33802084775371,0.3701025269039841,1.7846592445910003e-15,True,727,0.5545988292093216,10.170908925323445,11.0,0.4712939160239931,A,STABLE_DEMAND
11,1153,1153,2,0,119198,163.50891632373114,581,3.553323042332925,91.41089001452235,0.5590575246278192,1.7825985391617837e-17,True,727,0.5471579076477434,10.71806683297119,12.0,0.5141388174807198,A,STABLE_DEMAND
12,692,692,2,0,118829,163.00274348422496,274,1.6809533026449772,31.967402578686162,0.19611573336359148,1.1035447000651288e-09,True,728,0.5454640766445217,11.26353090961571,13.0,0.5569837189374465,A,STABLE_DEMAND
13,1417,1417,2,0,110459,151.5212620027435,563,3.7156501507346613,90.16776123115251,0.5950832248844383,2.186924918886071e-18,True,727,0.5070430319372983,11.770573941553009,14.0,0.5998286203941731,A,STABLE_DEMAND
14,930,930,2,0,109419,150.09465020576133,1745,11.625997313080909,164.61951831193167,1.0967713911605679,1.948178126480841e-36,True,528,0.502269090898408,12.272843032451416,15.0,0.6426735218508998,A,HIGH_IMPORTANCE
15,989,989,2,0,108578,148.94101508916324,264,1.7725137689034611,33.12087551865187,0.22237578748086365,8.612071411562283e-08,True,728,0.4984086251159976,12.771251657567413,16.0,0.6855184233076264,A,STABLE_DEMAND
16,762,762,2,0,104731,143.6639231824417,364,2.5336910752308297,65.44348561402253,0.4555318006380387,6.980551461310824e-07,True,727,0.48074963360002526,13.252001291167439,17.0,0.7283633247643531,A,STABLE_DEMAND
17,1334,1334,2,0,104013,142.679012345679,689,4.829021372328459,120.54873899692375,0.8448946836333671,9.014637943564729e-22,True,505,0.4774537781520221,13.72945506931946,18.0,0.7712082262210797,A,STABLE_DEMAND
18,846,846,2,0,100470,137.81893004115227,397,2.8805912212600773,72.05584009440705,0.5228297743487881,9.729585886963932e-11,True,727,0.4611902463243408,14.1906453156438,19.0,0.8140531276778064,A,STABLE_DEMAND
19,214,214,0,0,100372,137.68449931412894,400,2.9051926832184276,78.51610945191206,0.5702610667361803,5.122293145198853e-10,True,727,0.46074039418798385,14.651385709831784,20.0,0.856898029134533,A,STABLE_DEMAND
20,988,988,2,0,99289,136.19890260631,514,3.7738923747847193,64.37775022528206,0.4726745149435549,5.5405106941426325e-15,True,704,0.45576906904844705,15.107154778880231,21.0,0.8997429305912596,A,STABLE_DEMAND
21,1361,1361,2,0,88859,121.89163237311385,430,3.5277236970931476,62.80027252597866,0.5152139757530295,8.624561599092701e-17,True,727,0.4078919488218832,15.515046727702114,22.0,0.9425878320479862,A,STABLE_DEMAND
22,931,931,2,0,83848,115.01783264746227,495,4.303680469420857,67.5499893055968,0.5873001407759286,2.159559865163796e-16,True,727,0.38488981560469127,15.899936543306804,23.0,0.9854327335047129,A,STABLE_DEMAND
23,342,342,1,0,83174,114.09327846364883,325,2.8485464207564863,43.890373814198725,0.3846885145664615,3.510690696484353e-11,True,727,0.3817959345852565,16.28173247789206,24.0,1.0282776349614395,A,STABLE_DEMAND
24,711,711,2,0,82391,113.01920438957475,266,2.3535823087473147,34.10648586321322,0.301776021583455,6.876378806641714e-13,True,718,0.3782017078223227,16.659934185714384,25.0,1.0711225364181662,A,STABLE_DEMAND
25,1159,1159,2,0,79926,109.63786008230453,294,2.6815554387808724,51.295502382228705,0.4678630387689203,2.411868448015664e-13,True,727,0.36688654949456817,17.026820735208954,26.0,1.113967437874893,A,STABLE_DEMAND
26,1103,1103,2,0,79459,108.99725651577504,442,4.055147937930253,86.17467242924184,0.7906132244417536,2.277525696339513e-21,True,510,0.36474286635498954,17.391563601563945,27.0,1.1568123393316196,A,STABLE_DEMAND
27,1322,1322,2,0,78715,107.97668038408779,384,3.5563234453407864,55.66306857065353,0.5155100932224662,3.1861012173830736e-14,True,727,0.3613276623810141,17.75289126394496,28.0,1.1996572407883461,A,STABLE_DEMAND
28,490,490,1,0,78680,107.92866941015089,224,2.0754448398576515,43.17674337758848,0.40004888055747334,5.566131221712567e-05,True,714,0.36116700090374376,18.114058264848705,29.0,1.2425021422450728,A,STABLE_DEMAND
29,893,893,2,0,78496,107.67626886145405,546,5.070755197717081,125.90398181395585,1.169282546147241,1.3806984067592316e-27,True,455,0.36032238056609395,18.474380645414797,30.0,1.2853470437017995,A,HIGH_IMPORTANCE
